Aether M5 API Ledger: Honest Failures
=====================================
Category | API Name                                 | Call Count
CSS      | property:mask-size                       | 1
CSS      | property:max-height                      | 5
CSS      | property:max-width                       | 22
CSS      | property:min-height                      | 28
CSS      | property:min-width                       | 32
CSS      | property:mix-blend-mode                  | 1
CSS      | property:opacity                         | 15
CSS      | property:outline-color                   | 1
CSS      | property:overflow                        | 17
CSS      | property:overflow-wrap                   | 2
CSS      | property:overflow-x                      | 2
CSS      | property:page-break-inside               | 2
CSS      | property:pointer-events                  | 1
CSS      | property:quotes                          | 2
CSS      | property:scroll-margin-top               | 2
CSS      | property:scroll-padding-top              | 1
CSS      | property:tab-size                        | 1
CSS      | property:text-decoration                 | 12
CSS      | property:text-decoration-style           | 1
CSS      | property:text-indent                     | 1
CSS      | property:text-overflow                   | 3
CSS      | property:text-transform                  | 1
CSS      | property:touch-action                    | 1
CSS      | property:transform                       | 11
CSS      | property:transition                      | 6
CSS      | property:transition-duration             | 8
CSS      | property:transition-property             | 8
CSS      | property:transition-timing-function      | 2
CSS      | property:unicode-bidi                    | 9
CSS      | property:user-select                     | 5
CSS      | property:utf8,<svg xmlns="http           | 6
CSS      | property:vertical-align                  | 36
CSS      | property:visibility                      | 2
CSS      | property:white-space                     | 18
CSS      | property:word-break                      | 7
CSS      | property:word-spacing                    | 2
CSS      | property:word-wrap                       | 4
CSS      | property:z-index                         | 11
CSS      | selector-compile-failed:#p-lang .uls-settings-tr | 1
CSS      | selector-compile-failed:.cdx-button::-moz-focus- | 1
CSS      | selector-compile-failed:.cdx-message .cdx-messag | 1
CSS      | selector-compile-failed:.cdx-message--progressiv | 1
CSS      | selector-compile-failed:.cdx-message__content:la | 1
CSS      | selector-compile-failed:.cdx-radio--status-error | 3
CSS      | selector-compile-failed:.cdx-radio__icon:before | 1
CSS      | selector-compile-failed:.cdx-radio__input:enable | 2
CSS      | selector-compile-failed:.cdx-text-input--status- | 4
CSS      | selector-compile-failed:.cdx-text-input__input:: | 1
CSS      | selector-compile-failed:.cdx-text-input__input:e | 1
CSS      | selector-compile-failed:.cdx-text-input__input[t | 1
CSS      | selector-compile-failed:.client-js .mw-collapsed | 1
CSS      | selector-compile-failed:.client-js .mw-collapsib | 3
CSS      | selector-compile-failed:.client-js body.skin-min | 2
CSS      | selector-compile-failed:.client-js ol.mw-collaps | 1
CSS      | selector-compile-failed:.client-js ol.mw-made-co | 1
CSS      | selector-compile-failed:.client-js table.mw-coll | 1
CSS      | selector-compile-failed:.client-nojs a.mw-editse | 1
CSS      | selector-compile-failed:.client-nojs a:has(+ .mw | 1
CSS      | selector-compile-failed:.mw-body h1:lang(ckb),.m | 1
CSS      | selector-compile-failed:.mw-body h1:lang(ja),.mw | 1
CSS      | selector-compile-failed:.mw-body h1:lang(my),.mw | 1
CSS      | selector-compile-failed:.mw-body-content::after | 1
CSS      | selector-compile-failed:.mw-collapsible:not(.mw- | 1
CSS      | selector-compile-failed:.mw-content-ltr .mw-coll | 1
CSS      | selector-compile-failed:.mw-content-ltr figure[t | 4
CSS      | selector-compile-failed:.mw-content-rtl .mw-coll | 1
CSS      | selector-compile-failed:.mw-content-rtl figure[t | 4
CSS      | selector-compile-failed:.mw-editsection a::befor | 1
CSS      | selector-compile-failed:.mw-editsection a:first- | 1
CSS      | selector-compile-failed:.mw-editsection a:last-o | 1
CSS      | selector-compile-failed:.mw-editsection a:not(:l | 1
CSS      | selector-compile-failed:.mw-heading1:lang(anp),. | 1
CSS      | selector-compile-failed:.mw-heading1:lang(ne),h1 | 1
CSS      | selector-compile-failed:.mw-heading2:lang(th),.m | 1
CSS      | selector-compile-failed:.mw-heading:lang(anp),.m | 1
CSS      | selector-compile-failed:.mw-highlight .linenos:: | 1
CSS      | selector-compile-failed:.mw-interlanguage-select | 3
CSS      | selector-compile-failed:.mw-parser-output .andli | 2
CSS      | selector-compile-failed:.mw-parser-output .citat | 1
CSS      | selector-compile-failed:.mw-parser-output .cslis | 2
CSS      | selector-compile-failed:.mw-parser-output .hlist | 7
CSS      | selector-compile-failed:.mw-parser-output .navba | 2
CSS      | selector-compile-failed:.mw-parser-output .sslis | 1
CSS      | selector-compile-failed:.mw-parser-output a[rel~ | 1
CSS      | selector-compile-failed:.skin-minerva span[rel~= | 1
CSS      | selector-compile-failed:.vector-dropdown .vector | 3
CSS      | selector-compile-failed:.vector-menu-tabs .mw-li | 3
CSS      | selector-compile-failed:.vector-page-titlebar .m | 5
CSS      | selector-compile-failed:.vector-page-titlebar-bl | 1
CSS      | selector-compile-failed:.vector-page-titlebar::a | 2
CSS      | selector-compile-failed:.vector-sticky-pinned-co | 1
CSS      | selector-compile-failed:.vector-user-menu-logged | 3
CSS      | selector-compile-failed:[rel~='mw:referencedBy'] | 1
CSS      | selector-compile-failed:_::-webkit-full-page-med | 3
